"","ASSESSMENT","ID_NO","SCI_NAME","PRESENCE","ORIGIN","SEASONAL","COMPILER","YRCOMPILED"
"211",76317852,76317602,"Paedophryne verrucosa",1,1,1,"Louise Hobin",2019
"212",76317852,76317602,"Paedophryne verrucosa",3,1,1,"Louise Hobin",2019
"213",76317856,76317596,"Xenorhina brachyrhyncha",1,1,1,"Steve Best",2015
"214",76317860,76317541,"Xenorhina tillacki",1,1,1,"Louise Hobin",2019
"215",76500102,76500199,"Cophixalus ornatus",1,1,1,"Janice Chanson",2020
"216",76500221,76500214,"Cophixalus hinchinbrookensis",1,1,1,"Janice Chanson",2020
"217",77125083,77124965,"Sphenophryne miniafia",1,1,1,"Louise Hobin",2019
"218",77125083,77124965,"Sphenophryne miniafia",3,1,1,"Louise Hobin",2019
"219",78427687,57780,"Cophixalus monticola",1,1,1,"Janice Chanson",2020
"220",78428242,57769,"Cophixalus aenigma",1,1,1,"Janice Chanson",2020
"221",78430685,54348,"Austrochaperina fryi",1,1,1,"Janice Chanson",2020
"222",78430784,54347,"Austrochaperina adelphe",1,1,1,"Stewart Macdonald",2017
"223",78430992,54351,"Austrochaperina robusta",1,1,1,"Janice Chanson",2020
"224",78431087,54350,"Austrochaperina pluvialis",1,1,1,"Janice Chanson",2020
"225",78431190,54349,"Austrochaperina gracilipes",1,1,1,"IUCN",2019
"226",78431190,54349,"Austrochaperina gracilipes",1,1,1,"Janice Chanson",2021
"227",78433189,41039,"Cophixalus mcdonaldi",1,1,1,"Janice Chanson",2020
"228",78433331,41040,"Cophixalus neglectus",1,1,1,"Janice Chanson",2020
"229",78437730,41042,"Cophixalus peninsularis",1,1,1,"Janice Chanson",2020
"230",78437984,41041,"Cophixalus saxatilis",1,1,1,"Janice Chanson",2020
"231",78438380,41043,"Cophixalus zweifeli",1,1,1,"Janice Chanson",2020
"232",78439270,41122,"Cophixalus infacetus",1,1,1,"Stewart Macdonald",2020
"233",78439368,41121,"Cophixalus hosmeri",1,1,1,"Janice Chanson",2020
"234",78451572,41117,"Cophixalus bombiens",1,1,1,"Janice Chanson",2020
"235",78451677,41118,"Cophixalus concinnus",1,1,1,"Janice Chanson",2020
"236",78451805,41119,"Cophixalus crepitans",1,1,1,"Janice Chanson",2020
"237",78451912,41120,"Cophixalus exiguus",1,1,1,"Stewart MacDonald",2020
"238",78452071,78417157,"Cophixalus pakayakulangun",1,1,1,"Janice Chanson",2020
"239",78452076,78418762,"Cophixalus petrophilus",1,1,1,"Stewart MacDonald",2020
"240",78457832,78458222,"Chiasmocleis ventrimaculata",1,1,1,"Kelsey Neam",2021
"241",78910954,78910763,"Elachistocleis haroi",1,1,1,"Nieves Garcia",2021
"242",78910954,78910763,"Elachistocleis haroi",3,1,1,"Kelsey Neam",2021
"243",78910991,78911125,"Elachistocleis bicolor",1,1,1,"Sheila Andrade",2020
"244",78910991,78911125,"Elachistocleis bicolor",1,1,1,"Sheila Andrade and Kelsey Neam",2020
"245",78910991,78911125,"Elachistocleis bicolor",6,1,1,"Kelsey Neam",2020
"246",79097817,79098032,"Microhyla ornata",1,1,1,"Janice Chanson",2021
"247",79097817,79098032,"Microhyla ornata",1,1,1,"Janice Chanson & Louise Hobin",2021
"248",79097817,79098032,"Microhyla ornata",1,1,1,"Lauren Warr",2021
"249",79098638,79098776,"Microhyla achatina",1,1,1,"IUCN",2017
"250",79098638,79098776,"Microhyla achatina",1,1,1,"Louise Hobin",2017
"251",79130343,79130281,"Rhombophryne serratopalpebrosa",1,1,1,"Jennifer Luedtke",2015
"252",84159360,6937,"Dyscophus antongilii",1,1,1,"Louise Hobin",2016
"253",84178035,57675,"Anodonthyla montana",1,1,1,"IUCN",2015
"254",84178162,57677,"Anodonthyla rouxae",1,1,1,"IUCN",2015
"255",84178347,57792,"Cophyla phyllodactyla",1,1,1,"IUCN",2015
"256",84178347,57792,"Cophyla phyllodactyla",1,1,1,"Jennifer Luedtke",2015
"257",84178457,57805,"Dyscophus guineti",1,1,1,"IUCN",2015
"258",84178647,57806,"Dyscophus insularis",1,1,1,"IUCN",2015
"259",84178804,57867,"Madecassophryne truebae",1,1,1,"Jennifer Luedtke",2015
"260",84178939,57945,"Paradoxophyla palmata",1,1,1,"IUCN",2015
"261",84179073,57954,"Platypelis alticola",1,1,1,"IUCN",2008
"262",84179208,57955,"Platypelis barbouri",1,1,1,"IUCN",2008
"263",84179422,57957,"Platypelis grandis",1,1,1,"IUCN",2008
"264",84179558,57958,"Platypelis mavomavo",1,1,1,"IUCN",2008
"265",84179671,57959,"Platypelis milloti",1,1,1,"IUCN",2008
"266",84179827,57960,"Cophyla occultans",1,1,1,"IUCN",2015
"267",84179827,57960,"Cophyla occultans",1,1,1,"Jennifer Luedtke",2015
"268",84179970,57962,"Platypelis tetra",1,1,1,"IUCN",2008
"269",84180205,57964,"Platypelis tuberifera",1,1,1,"IUCN",2008
"270",84180346,57965,"Plethodontohyla alluaudi",1,1,1,"IUCN",2015
"271",84180481,57967,"Plethodontohyla bipunctata",1,1,1,"IUCN",2015
"272",84180615,57968,"Plethodontohyla brevipes",1,1,1,"Jennifer Luedtke",2015
"273",84180747,57969,"Rhombophryne coronata",1,1,1,"Jennifer Luedtke",2015
"274",84180885,57970,"Rhombophryne coudreaui",1,1,1,"IUCN",2015
"275",84181159,57972,"Plethodontohyla inguinalis",1,1,1,"IUCN",2015
"276",84181290,57973,"Rhombophryne laevipes",1,1,1,"IUCN",2015
"277",84181433,57974,"Plethodontohyla mihanika",1,1,1,"IUCN",2015
"278",84181573,57976,"Plethodontohyla notosticta",1,1,1,"IUCN",2015
"279",84181573,57976,"Plethodontohyla notosticta",1,1,1,"Louise Hobin",2015
"280",84181722,57977,"Plethodontohyla ocellata",1,1,1,"IUCN",2015
"281",84181851,57979,"Plethodontohyla tuberata",1,1,1,"IUCN",2015
"282",84182091,57995,"Scaphiophryne boribory",1,1,1,"IUCN",2016
"283",84182091,57995,"Scaphiophryne boribory",1,1,1,"Louise Hobin",2016
"284",84182251,57996,"Scaphiophryne brevis",1,1,1,"IUCN",2015
"285",84182354,57997,"Scaphiophryne calcarata",1,1,1,"IUCN",2008
"286",84182354,57997,"Scaphiophryne calcarata",1,1,1,"Louise Hobin",2015
"287",84182454,57998,"Scaphiophryne gottlebei",1,1,1,"IUCN",2016
"288",84182651,57999,"Scaphiophryne madagascariensis",1,1,1,"IUCN",2015
"289",84182769,58000,"Scaphiophryne marmorata",1,1,1,"IUCN",2015
"290",84182959,58002,"Scaphiophryne spinosa",1,1,1,"IUCN",2015
"291",84183101,58008,"Stumpffia gimmeli",1,1,1,"IUCN",2015
"292",84183101,58008,"Stumpffia gimmeli",1,1,1,"IUCN",2015
"293",84183186,58009,"Stumpffia grandis",1,1,1,"IUCN",2015
"294",84183331,58010,"Anilany helenae",1,1,1,"Louise Hobin",2015
"295",84183445,58012,"Stumpffia pygmaea",1,1,1,"IUCN",2015
"296",84183573,58013,"Stumpffia roseifemoralis",1,1,1,"Louise Hobin",2015
"297",84183710,58014,"Stumpffia tetradactyla",1,1,1,"IUCN",2008
"298",84183848,58015,"Stumpffia tridactyla",1,1,1,"IUCN",2008
"299",84184167,61859,"Scaphiophryne menabensis",1,1,1,"IUCN",2016
"300",84185233,136176,"Paradoxophyla tiarano",1,1,1,"IUCN",2015
"301",84185510,79788927,"Cophyla maharipeo",1,1,1,"Louise Hobin",2015
"302",84185515,79788960,"Cophyla noromalalae",1,1,1,"IUCN",2015
"303",84185520,79789021,"Cophyla puellarum",1,1,1,"Mark D. Scherz",2015
"304",85901309,58018,"Synapturanus salseri",1,1,1,"Kelsey Neam",2021
"305",85901422,58017,"Synapturanus rabus",1,1,1,"Kelsey Neam",2017
"306",85902136,58016,"Synapturanus mirandaribeiroi",1,1,1,"Kelsey Neam",2021
"307",85903599,57937,"Otophryne pyburni",1,1,1,"Kelsey Neam",2021
"308",85903599,57937,"Otophryne pyburni",6,1,1,"Kelsey Neam",2021
"309",85904201,57821,"Hamptophryne boliviana",1,1,1,"Kelsey Neam",2021
"310",85904325,57802,"Ctenophryne minor",1,1,1,"Kelsey Neam",2019
"311",85904396,57801,"Ctenophryne geayi",1,1,1,"Kelsey Neam",2021
"312",85905661,57751,"Chiasmocleis bassleri",1,1,1,"Kelsey Neam",2021
"313",85905768,57757,"Chiasmocleis hudsoni",1,1,1,"Kelsey Neam",2021
"314",86254787,78911222,"Elachistocleis magna",1,1,1,"Sheila Andrade",2020
"315",86255318,82484082,"Elachistocleis cesarii",1,1,1,"Sheila Andrade",2020
"316",86255763,78586372,"Stereocyclops palmipes",1,1,1,"Ibere Machado",2021
"317",86256124,78457527,"Chiasmocleis haddadi",1,1,1,"Kelsey Neam",2021
"318",86256124,78457527,"Chiasmocleis haddadi",3,1,1,"Kelsey Neam",2021
"319",86256129,78457623,"Chiasmocleis papachibe",1,1,1,"Ibere Machado",2021
"320",86256129,78457623,"Chiasmocleis papachibe",3,1,1,"Ibere Machado",2021
"321",86256134,78457733,"Chiasmocleis royi",1,1,1,"Kelsey Neam",2021
"322",86256139,78458631,"Chiasmocleis supercilialba",1,1,1,"Kelsey Neam",2021
"323",86256139,78458631,"Chiasmocleis supercilialba",3,1,1,"Kelsey Neam",2021
"324",86758190,57880,"Micryletta erythropoda",1,1,1,"Timothy Cutajar & Harry Leung",2020
"325",86758190,57880,"Micryletta erythropoda",3,1,1,"Timothy Cutajar & Harry Leung",2020
"326",86811081,61852,"Nanohyla nanapollexa",1,1,1,"Timothy Cutajar",2016
"327",86811081,61852,"Nanohyla nanapollexa",1,1,1,"Timothy Cutajar & Harry Leung",2020
"328",86811081,61852,"Nanohyla nanapollexa",3,1,1,"Timothy Cutajar & Harry Leung",2020
"329",86811081,61852,"Nanohyla nanapollexa",6,1,1,"Timothy Cutajar",2020
"330",86814925,57890,"Microhyla picta",1,1,1,"IUCN",2008
"331",86897600,18435489,"Elachistocleis carvalhoi",1,1,1,"Nieves Garcia",2021
"332",87897966,10634,"Stereocyclops histrio",1,1,1,"Nieves Garcia",2021
"333",89213629,57673,"Hamptophryne alios",1,1,1,"Kelsey Neam",2021
"334",89222587,185794,"Chiasmocleis devriesi",1,1,1,"Kelsey Neam",2017
"335",89873064,57887,"Microhyla palmipes",1,1,1,"IUCN",2018
"336",89873064,57887,"Microhyla palmipes",6,1,1,"Louise Hobin",2018
"337",90961057,57843,"Kalophrynus palmatissimus",1,1,1,"Louise Hobin",2018
"338",91600124,78584984,"Glyphoglossus capsus",1,1,1,"Kelsey Neam",2018
"339",91807830,61846,"Glyphoglossus minutus",1,1,1,"IUCN",2018
"340",91807830,61846,"Glyphoglossus minutus",1,1,1,"Louise Hobin",2018
"341",91875845,57846,"Kalophrynus robinsoni",1,1,1,"IUCN",2018
"342",91879626,57875,"Nanohyla annectens",1,1,1,"IUCN",2018
"343",91879626,57875,"Nanohyla annectens",1,1,1,"Louise Hobin",2018
"344",91903690,88137177,"Kalophrynus anya",1,1,1,"Chris Portway and Timothy Cutajar",2020
"345",92506692,57871,"Metaphrynella pollicaris",1,1,1,"Louise Hobin",2018
"346",92506692,57871,"Metaphrynella pollicaris",6,1,1,"Louise Hobin",2018
"347",95645860,57723,"Glyphoglossus brooksii",1,1,1,"IUCN",2018
"348",95645860,57723,"Glyphoglossus brooksii",1,1,1,"Kelsey Neam",2018
"349",95668053,57724,"Glyphoglossus flavus",1,1,1,"IUCN",2018
