COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
AA 19252,Oreophryne (Genus of Microhylidae),34799,alcoholic,"installed, Mar 2016, but adjust taxon name here?",Lababia Gardens = from A Allison field catalogue,"Kamiali {Papua New Guinea: Morobe Prov.: Kamiali, Bitoi River [Lababia] Gardens    :    1-10 m    :    7.22458ºS  147.13023ºE.}",,Morobe Prov.,A  Allison,18 Jul 2008,"-7.22458, 147.13023",1-10 m,Papua New Guinea,Morobe Prov.,"Kamiali, Bitoi River [Lababia] Gardens    ",Kamiali,-7.22458,147.13023,7.22458ºS 147.13023ºE,
AA 19335,Oreophryne (Genus of Microhylidae),34800,alcoholic,"installed, Mar 2016; tag tied, ready for ID check, Feb 2010","Nunupi Base Camp - BBC = from A Allison electronic database *;* -6.53304°, 143.10884° verbally per A Allison, 10 Jan 2010/K Imada",Nunupi Base Camp {Papua New Guinea: Southern Highlands Prov.: Nunupi Base Camp    :    213 m    :    6.53304ºS  143.10884ºE.},,Southern Highlands Prov.,A  Allison,04 Feb 2009,"-6.53304, 143.10884",213 m,Papua New Guinea,Southern Highlands Prov.,Nunupi Base Camp    ,Nunupi Base Camp,-6.53304,143.10884,6.53304ºS 143.10884ºE,
AA 19286,Oreophryne (Genus of Microhylidae),34801,alcoholic,"installed, Mar 2016; tag tied, ready for ID check, Feb 2010","Nunupi Base Camp - BBC = from A Allison electronic database *;* -6.53304°, 143.10884° verbally per A Allison, 10 Jan 2010/K Imada",Nunupi Base Camp {Papua New Guinea: Southern Highlands Prov.: Nunupi Base Camp    :    213 m    :    6.53304ºS  143.10884ºE.},,Southern Highlands Prov.,A  Allison,30 Jan 2009,"-6.53304, 143.10884",213 m,Papua New Guinea,Southern Highlands Prov.,Nunupi Base Camp    ,Nunupi Base Camp,-6.53304,143.10884,6.53304ºS 143.10884ºE,
AA 19452,Oreophryne (Genus of Microhylidae),34802,alcoholic,"installed, Mar 2016; tag tied, ready for ID check, Feb 2010","Nunupi 2 - BBC Base Camp = from A Allison electronic database *;* [per A Allison, loc. differs slightly from Nunupi Base Camp, but okay to use Nunupi Base Camp lat/long (-6.53304°, 143.10884°)/K Imada 10 Jan 2010]",Nunupi Base Camp {Papua New Guinea: Southern Highlands Prov.: Nunupi Base Camp    :    213 m    :    6.53304ºS  143.10884ºE.},,Southern Highlands Prov.,A  Allison,13 Feb 2009,"-6.53304, 143.10884",213 m,Papua New Guinea,Southern Highlands Prov.,Nunupi Base Camp    ,Nunupi Base Camp,-6.53304,143.10884,6.53304ºS 143.10884ºE,
FK 14882,Oreophryne (Genus of Microhylidae),37742,alcoholic,"installed, Feb 2016;  ret'd from automontage, 10 Aug 2011 then return to FK cab, 12 Dec 2011 in press","Point 22 (= Papua New Guinea, Milne Bay Prov., Woodlark Island, 9.12165° S, 152.74862° E, 67 m) = from F Kraus field catalogue",,,,F Kraus,18 Oct 2010,", ",,,,,,NA,NA,,
AA 19669,Oreophryne (Genus of Microhylidae),38544,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19670,Oreophryne (Genus of Microhylidae),38545,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19671,Oreophryne (Genus of Microhylidae),38546,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19672,Oreophryne (Genus of Microhylidae),38547,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19676,Oreophryne (Genus of Microhylidae),38548,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
