Amphibians of the World Entry,Sequenced? ,BPBM has specimen?,<- how many?,A or B?,Previously called a different genus?,Previous Name,Is it valid?,original description,Allen has?,taxonomic revision?,Allen has?,revision 2?,Allen has?,revision 3?,Allen has?,revision 4?,Allen has?
"Species: Oreophryne moluccensis (Peters and Doria, 1878)",Y,,,A,Y,Microhyla achatina var. moluccensis,N,"Peters, W. C. H., and G. Doria. 1878. Catalogo dei rettili e dei batraci raccolti da O. Beccari, L.M. D’Albertis e A.A. Bruijn nella sotto-regione Austro-Malese. Annali del Museo Civico di Storia Naturale di Genova 13: 323–450.",N,"Boettger, O. 1895. Liste der Reptilien und Batrachier der Insel Halmaheira nach den Sammlungen Prof. Dr. W. Kükenthal’s. Zoologischer Anzeiger 18: 129–138.",Y,"Poche, F. 1903. Einige nothwendige Änderungen in der herpetologischen Nomenclatur. Zoologischer Anzeiger 26: 698–703.",N,,,,
"Species: Oreophryne variabilis (Boulenger, 1896)",Y,,,A,,,,"Boulenger, G. A. 1896. Descriptions of new reptiles and batrachians obtained by Mr. Alfred Everett in Celebes and Jampea. Annals and Magazine of Natural History, Series 6, 18: 62–64.",N,"Van Kampen, P. N. 1923. The Amphibia of the Indo-Australian Archipelago. Leiden: E. J. Brill Ltd..",Y,,,,,,
Oreophryne A cf. cameroni,Y,,,A,,,,,,,,,,,,,
Oreophryne A cf. geislerorum.1,Y,,,A,,,,,,,,,,,,,
Oreophryne A cf. geislerorum.2,Y,,,A,,,,,,,,,,,,,
Oreophryne A loriae (Maru Ruama),Y,,,A,,,,,,,,,,,,,
Oreophryne A loriae (Site 1),Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 1,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 2,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 3,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 4,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 5,Y,,,A,,,,,,,,,,,,,
