"Original designation (author, date)",Previous generic designation,Current generic designation,Species,Notes
"Oreophryne oviprotector (Günther, Richards, Bickford, and Johnston, 2012)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne pseudasplenicola (Günther, 2003)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne pseudunicolor (Günther and Richards, 2016)   ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne roedeli (Günther, 2015)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne rookmaakeri (Mertens, 1927)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne riyantoi (Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne sibilans (Günther, 2003)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne streiffeleri (Günther and Richards, 2012)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne terrestris (Zweifel, Cogger, and Richards, 2005)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne unicolor (Günther, 2003)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne waira (Günther, 2003)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne wapoga (Günther, Richards, and Iskandar, 2001)  ",Oreophryne,,,Requires phylogenetic evidence 
"Hylella wolterstorffi (Werner, 1901)  ",Oreophryne,,,Requires phylogenetic evidence 
"Oreophryne zimmeri (Ahl, 1933)  ",Oreophryne,,,Requires phylogenetic evidence 
