"orig","prev","curr","sp","notes","citation","name"
"Cophixalus crucifer Van Kampen, 1913","Oreophryne","incertae sedis","crucifer","","Van Kampen, 1913","Cophixalus crucifer"
"Oreophryne curator Günther, Richards, and Dahl, 2014","Oreophryne","incertae sedis","curator","","Günther, Richards, and Dahl, 2014","Oreophryne curator"
"Oreophryne flava Parker, 1934","Oreophryne","incertae sedis","flava","","Parker, 1934","Oreophryne flava"
"Oreophryne flavomaculata Günther and Richards, 2016","Oreophryne","incertae sedis","flavomaculata","","Günther and Richards, 2016","Oreophryne flavomaculata"
"Callula frontifasciata Horst, 1883","Oreophryne","incertae sedis","frontifasciata","","Horst, 1883","Callula frontifasciata"
"Oreophryne furu Günther, Richards, Tjaturadi, and Iskandar, 2009","Oreophryne","incertae sedis","furu","","Günther, Richards, Tjaturadi, and Iskandar, 2009","Oreophryne furu"
"Oreophryne geminus Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","geminus","","Zweifel, Cogger, and Richards, 2005","Oreophryne geminus"
"Oreophryne habbemensis Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","habbemensis","","Zweifel, Cogger, and Richards, 2005","Oreophryne habbemensis"
"Oreophryne hypsiops Zweifel, Menzies, and Price, 2003","Oreophryne","incertae sedis","hypsiops","","Zweifel, Menzies, and Price, 2003","Oreophryne hypsiops"
"Oreophryne idenburgensis Zweifel, 1956","Oreophryne","incertae sedis","idenburgensis","","Zweifel, 1956","Oreophryne idenburgensis"
"Oreophryne jeffersoniana Dunn, 1928","Oreophryne","incertae sedis","jeffersoniana","","Dunn, 1928","Oreophryne jeffersoniana"
"Oreophryne kampeni Parker, 1934","Oreophryne","incertae sedis","kampeni","","Parker, 1934","Oreophryne kampeni"
"Oreophryne kapisa Günther, 2003","Oreophryne","incertae sedis","kapisa","","Günther, 2003","Oreophryne kapisa"
"Sphenophryne mertoni Roux, 1910","Oreophryne","incertae sedis","mertoni","","Roux, 1910","Sphenophryne mertoni"
"Oreophryne minuta Richards and Iskandar, 2000","Oreophryne","incertae sedis","minuta","","Richards and Iskandar, 2000","Oreophryne minuta"
"Sphenophryne monticola Boulenger, 1897","Oreophryne","incertae sedis","monticola","","Boulenger, 1897","Sphenophryne monticola"
"Oreophryne nicolasi Richards and Günther, 2019","Oreophryne","incertae sedis","nicolasi","","Richards and Günther, 2019","Oreophryne nicolasi"
"Oreophryne oviprotector Günther, Richards, Bickford, and Johnston, 2012","Oreophryne","incertae sedis","oviprotector","","Günther, Richards, Bickford, and Johnston, 2012","Oreophryne oviprotector"
"Oreophryne pseudasplenicola Günther, 2003","Oreophryne","incertae sedis","pseudasplenicola","","Günther, 2003","Oreophryne pseudasplenicola"
"Oreophryne pseudunicolor Günther and Richards, 2016","Oreophryne","incertae sedis","pseudunicolor","","Günther and Richards, 2016","Oreophryne pseudunicolor"
"Oreophryne purari Günther, Nagombi, and Richards, 2025","Oreophryne","incertae sedis","purari","","Günther, Nagombi, and Richards, 2025","Oreophryne purari"
"Oreophryne roedeli Günther, 2015","Oreophryne","incertae sedis","roedeli","","Günther, 2015","Oreophryne roedeli"
"Oreophryne rookmaakeri Mertens, 1927","Oreophryne","incertae sedis","rookmaakeri","","Mertens, 1927","Oreophryne rookmaakeri"
"Oreophryne riyantoi Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023","Oreophryne","incertae sedis","riyantoi","","Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023","Oreophryne riyantoi"
"Oreophryne sibilans Günther, 2003","Oreophryne","incertae sedis","sibilans","","Günther, 2003","Oreophryne sibilans"
"Oreophryne streiffeleri Günther and Richards, 2012","Oreophryne","incertae sedis","streiffeleri","","Günther and Richards, 2012","Oreophryne streiffeleri"
"Oreophryne terrestris Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","terrestris","","Zweifel, Cogger, and Richards, 2005","Oreophryne terrestris"
"Oreophryne unicolor Günther, 2003","Oreophryne","incertae sedis","unicolor","","Günther, 2003","Oreophryne unicolor"
"Oreophryne waira Günther, 2003","Oreophryne","incertae sedis","waira","","Günther, 2003","Oreophryne waira"
"Oreophryne wapoga Günther, Richards, and Iskandar, 2001","Oreophryne","incertae sedis","wapoga","","Günther, Richards, and Iskandar, 2001","Oreophryne wapoga"
"Hylella wolterstorffi Werner, 1901","Oreophryne","incertae sedis","wolterstorffi","","Werner, 1901","Hylella wolterstorffi"
"Oreophryne zimmeri Ahl, 1933","Oreophryne","incertae sedis","zimmeri","","Ahl, 1933","Oreophryne zimmeri"
