"","sp","orig.x","prev","curr","notes","species","citation.x","name","auth","orig.y","latitude","longitude","citation.y"
"22","chlorops","Oreophryne chlorops Günther, Iskandar, and Richards, 2023","Oreophryne","incertae sedis","","Oreophryne chlorops","Günther, Iskandar, and Richards, 2023","Oreophryne chlorops","Günther, Iskandar, and Richards, 2023","Oreophryne chlorops Günther, Iskandar, and Richards, 2023",-3.4416,136.4738,"Günther, Iskandar, and Richards, 2023"
"23","choerophrynoides","Oreophryne choerophrynoides Günther, 2015","Oreophryne","incertae sedis","","Oreophryne choerophrynoides","Günther, 2015","Oreophryne choerophrynoides","Günther, 2015","Oreophryne choerophrynoides Günther, 2015",-2.83554,132.30564,"Günther, 2015"
"24","clamata","Oreophryne clamata Günther, 2003","Oreophryne","incertae sedis","","Oreophryne clamata","Günther, 2003","Oreophryne clamata","Günther, 2003","Oreophryne clamata Günther, 2003",-2.93333,134.6,"Günther, 2003"
"25","crucifer","Cophixalus crucifer Van Kampen, 1913","Oreophryne","incertae sedis","","Cophixalus crucifer","Van Kampen, 1913","Cophixalus crucifer","Van Kampen, 1913","Oreophryne crucifer (Van Kampen, 1913)",-4.52947,138.79279,"(Van Kampen, 1913)"
"26","crucifer","Cophixalus crucifer Van Kampen, 1913","Oreophryne","incertae sedis","","Cophixalus crucifer","Van Kampen, 1913","Cophixalus crucifer","Van Kampen, 1913","Oreophryne crucifer (Van Kampen, 1913)",-4.487735,138.787612,"(Van Kampen, 1913)"
"27","curator","Oreophryne curator Günther, Richards, and Dahl, 2014","Oreophryne","incertae sedis","","Oreophryne curator","Günther, Richards, and Dahl, 2014","Oreophryne curator","Günther, Richards, and Dahl, 2014","Oreophryne curator Günther, Richards, and Dahl, 2014",-5.65672,142.30462,"Günther, Richards, and Dahl, 2014"
"28","equus","Oreophryne equus Kraus, 2016","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne equus","Kraus, 2016","Oreophryne equus","Kraus, 2016","Oreophryne equus Kraus, 2016",-10.4956,150.234,"Kraus, 2016"
"29","ezra","Oreophryne ezra Kraus & Allison, 2009","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne ezra","Kraus & Allison, 2009","Oreophryne ezra","Kraus & Allison, 2009","Oreophryne ezra Kraus and Allison, 2009",-11.50543,153.42995,"Kraus and Allison, 2009"
"30","flava","Oreophryne flava Parker, 1934","Oreophryne","incertae sedis","","Oreophryne flava","Parker, 1934","Oreophryne flava","Parker, 1934","Oreophryne flava Parker, 1934",-4.64153,138.76131,"Parker, 1934"
"31","flavomaculata","Oreophryne flavomaculata Günther and Richards, 2016","Oreophryne","incertae sedis","","Oreophryne flavomaculata","Günther and Richards, 2016","Oreophryne flavomaculata","Günther and Richards, 2016","Oreophryne flavomaculata Günther and Richards, 2016",-6.43268,143.21495,"Günther and Richards, 2016"
